week,away_team,home_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,max_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,LAC,HOU,LACHOU,,HOU,32,12,3,"Saturday, 4:30 p.m., CBS, Paramount+",LAC,LAC,LAC,HOU,HOU,LAC,HOU
1,PIT,BAL,PITBAL,,BAL,,,-9.5,"Saturday, 8 p.m., Prime Video",BAL,BAL,PIT,PIT,BAL,BAL,BAL
1,DEN,BUF,DENBUF,,NONE,,,-9,"Sunday, 1 p.m., CBS, Paramount+",DEN,BUF,DEN,DEN,BUF,BUF,DEN
1,GB,PHI,GBPHI,,NONE,,,-5.5,"Sunday, 4:30 p.m., FOX",PHI,PHI,PHI,PHI,PHI,PHI,PHI
1,WSH,TB,WSHTB,,NONE,,,-3.5,"Sunday, 8 p.m., NBC, Peacock",WSH,WSH,WSH,TB,TB,WSH,TB
1,MIN,LAR,MINLAR,,NONE,,,-8.5,"Monday, 8 p.m., ABC, ESPN, ESPN+",MIN,MIN,LAR,MIN,MIN,MIN,MIN
2,?,?,,,NONE,,,0,TBD,,,,,,,
2,?,?,,,NONE,,,0,TBD,,,,,,,
2,?,?,,,NONE,,,0,TBD,,,,,,,
2,?,?,,,NONE,,,0,TBD,,,,,,,
3,?,?,,,NONE,,,0,TBD,,,,,,,
3,?,?,,,NONE,,,0,TBD,,,,,,,
4,?,?,,,NONE,,,0,TBD,,,,,,,
