week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,KC,BAL,401671789,,,27,20,,,,,,,,
1,PHI,GB,401671805,,,34,29,,,,,,,,
1,ATL,PIT,401671744,,,10,18,,,,,,,,
1,BUF,ARI,401671617,,,34,28,,,,,,,,
1,CHI,TEN,401671719,,,24,17,,,,,,,,
1,CIN,NE,401671628,,,10,16,,,,,,,,
1,IND,HOU,401671861,,,27,29,,,,,,,,
1,MIA,JAX,401671849,,,20,17,,,,,,,,
1,NO,CAR,401671734,,,47,10,,,,,,,,
1,NYG,MIN,401671712,,,6,28,,,,,,,,
1,LAC,LV,401671659,,,22,10,,,,,,,,
1,SEA,DEN,401671664,,,26,20,,,,,,,,
1,CLE,DAL,401671761,,,17,33,,,,,,,,
1,TB,WSH,401671770,,,37,20,,,,,,,,
1,DET,LAR,401671792,,,26,20,,,,,,,,
1,SF,NYJ,401671696,,,32,19,,,,,,,,
2,MIA,BUF,401671807,,,10,31,,,,,,,,
2,DAL,NO,401671709,,,19,44,,,,,,,,
2,DET,TB,401671721,,,16,20,,,,,,,,
2,GB,IND,401671723,,,16,10,,,,,,,,
2,TEN,NYJ,401671636,,,17,24,,,,,,,,
2,MIN,SF,401671645,,,23,17,,,,,,,,
2,NE,SEA,401671702,,,20,23,,,,,,,,
2,WSH,NYG,401671716,,,21,18,,,,,,,,
2,CAR,LAC,401671652,,,3,26,,,,,,,,
2,JAX,CLE,401671635,,,13,18,,,,,,,,
2,BAL,LV,401671624,,,23,26,,,,,,,,
2,ARI,LAR,401671754,,,41,10,,,,,,,,
2,DEN,PIT,401671668,,,6,13,,,,,,,,
2,KC,CIN,401671670,,,26,25,,,,,,,,
2,HOU,CHI,401671786,,,19,13,,,,,,,,
2,PHI,ATL,401671691,,,21,22,,,,,,,,
3,NYJ,NE,401671808,,,24,3,,,,,,,,
3,CLE,NYG,401671855,,,15,21,,,,,,,,
3,TEN,GB,401671823,,,14,30,,,,,,,,
3,IND,CHI,401671865,,,21,16,,,,,,,,
